Date,Adj Close,Close,High,Low,Open,Volume
10/7/2020,257.345123,258.119995,260.179993,254.820007,259.209991,23133400
10/8/2020,262.968231,263.76001,264.619995,259.149994,259.75,16312800
10/9/2020,263.656189,264.450012,264.75,262.170013,264.519989,14107800
10/12/2020,274.922241,275.75,280.179993,267.869995,270.200012,31019300
10/13/2020,275.311096,276.140015,279.100006,273.390015,277.579987,18063300
10/14/2020,271.004059,271.820007,278.75,271.5,277.619995,15577800
10/15/2020,265.919373,266.720001,269.040009,263.670013,267.600006,15416100
10/16/2020,265.131714,265.929993,271.369995,265.299988,267.380005,16622700
10/19/2020,260.615295,261.399994,268.549988,259.880005,265.529999,13587000
10/20/2020,266.756836,267.559998,269.700012,262.880005,263.059998,18763200
10/21/2020,277.893311,278.730011,283.049988,276.369995,279.559998,28998600
10/22/2020,277.285126,278.119995,282.450012,275.040009,279.869995,16720000
10/23/2020,283.935089,284.790009,285.23999,276.820007,278.799988,17535200
10/26/2020,276.278168,277.109985,285.230011,274.26001,283.160004,21322900
10/27/2020,282.439606,283.290009,284.51001,276.309998,278.76001,16287200
10/28/2020,266.866516,267.670013,278.790009,267.26001,278.790009,23121800
10/29/2020,279.987,280.829987,283.600006,273.779999,276.549988,32368100
10/30/2020,262.32019,263.109985,276.700012,259.100006,274.5,47247800
11/2/2020,260.575409,261.359985,270.470001,257.339996,264.600006,27165700
11/3/2020,264.503601,265.299988,270.049988,260.880005,263.160004,17961900
11/4/2020,286.517334,287.380005,288.940002,278.619995,281,35364400
11/5/2020,293.795441,294.679993,297.380005,288.950012,291.899994,23823600
11/6/2020,292.529236,293.410004,294.600006,288.059998,293.950012,13891000
11/9/2020,277.933167,278.769989,292.579987,278.529999,289.869995,25117700
11/10/2020,271.612183,272.429993,274,264,273.100006,29067700
11/11/2020,275.650085,276.480011,278.399994,272.480011,273.470001,14957000
11/12/2020,274.254211,275.079987,279.75,274.429993,277.179993,12899500
11/13/2020,276.118652,276.950012,277.76001,273.100006,277.720001,10391200
11/16/2020,278.122589,278.959991,279.410004,274.630005,275.049988,12970400
11/17/2020,274.1745,275,277.679993,273.290009,277.679993,15040300
11/18/2020,271.153564,271.970001,277.390015,271.839996,274.519989,12152900
11/19/2020,272.120697,272.940002,273.470001,269.190002,271.019989,12963700
11/20/2020,268.890411,269.700012,273,269.410004,272.559998,18114700
11/23/2020,267.624207,268.429993,270.950012,264.529999,270.890015,20990800
11/24/2020,276.088745,276.920013,277.820007,267.869995,268.48999,16930400
11/25/2020,274.762726,275.589996,280.179993,272.649994,278.140015,12467000
11/27/2020,276.976074,277.809998,279.130005,274.820007,277.390015,7808400
11/30/2020,276.13858,276.970001,277.700012,271.01001,276.029999,16693300
12/1/2020,285.689789,286.549988,289.299988,278.959991,279.160004,20738900
12/2/2020,286.656891,287.519989,291.779999,280.829987,285.359985,17361600
12/3/2020,281.003937,281.850006,286.649994,281.070007,286.25,12921700
12/4/2020,278.860382,279.700012,283.459991,279.299988,280.299988,10880300
12/7/2020,284.722748,285.579987,288.48999,278.200012,279.190002,13007700
12/8/2020,282.549255,283.399994,286.429993,281.549988,286.01001,10747700
12/9/2020,277.085754,277.920013,287.630005,271.75,283.660004,25189700
12/10/2020,276.288116,277.119995,278.730011,271.859985,275.540009,20065100
12/11/2020,272.728821,273.549988,276.480011,270.25,274.529999,14391400
12/14/2020,273.366913,274.190002,277.220001,271.559998,273.369995,16376900
12/15/2020,274.722839,275.549988,276.079987,267.470001,274.829987,23979500
12/16/2020,274.842499,275.670013,277.859985,272.51001,274.76001,15885000
12/17/2020,273.656067,274.480011,280.440002,273.609985,277.070007,16377800
12/18/2020,275.570282,276.399994,278,271.140015,275.769989,26693200
12/21/2020,271.971161,272.790009,274.670013,267.790009,272.980011,16553700
12/22/2020,266.288239,267.089996,271.5,264.630005,271.5,17312900
12/23/2020,267.305145,268.109985,272.170013,266.230011,266.890015,14329000
12/24/2020,266.59729,267.399994,270.399994,266.200012,268.880005,6702000
12/28/2020,276.168488,277,277.299988,265.660004,268.73999,23299700
12/29/2020,275.949127,276.779999,280.51001,276.279999,276.950012,16383000
12/30/2020,271.053864,271.869995,278.079987,271.709991,277.950012,11803800
12/31/2020,272.340027,273.160004,277.089996,269.809998,272,12900400
1/4/2021,268.132721,268.940002,275,265.200012,274.779999,15106100
